Subject_Description_29,Online,Int_Fees,Subject_Objective_24,Subject_Description_14,Subject_or_Unit_35,Availability,Subject_or_Unit_6,Faculty,Subject_Description_39,Subject_Objective_25,Subject_Description_11,Subject_Description_4,Subject_or_Unit_28,Subject_Description_25,Subject_Objective_4,Subject_Objective_27,Subject_Objective_13,Subject_Description_40,Subject_Objective_17,Currency_Time,Subject_Description_37,Subject_Objective_9,Prerequisite_1,Subject_Description_3,Subject_Objective_31,Subject_Objective_3,Subject_or_Unit_10,Subject_or_Unit_2,Subject_or_Unit_25,Prerequisite_1_grade,Subject_Description_17,Subject_Description_34,Full_Time,Subject_or_Unit_13,Subject_or_Unit_21,Subject_Objective_16,Subject_Objective_40,Subject_Objective_20,Duration,Subject_or_Unit_14,Website,Subject_Description_32,Subject_Description_30,Subject_Description_10,Subject_Description_21,Part_Time,Prerequisite_3,Subject_Description_18,Subject_Objective_37,City,Subject_Description_15,Prerequisite_3_grade,Subject_or_Unit_8,Subject_Description_13,Subject_Objective_6,Subject_Description_8,Subject_Objective_38,Course_Lang,Subject_Objective_19,Remarks,Description,Subject_Description_7,Subject_or_Unit_30,Subject_or_Unit_38,Subject_Description_20,Subject_or_Unit_32,Duration_Time,Prerequisite_2,Subject_Description_19,Subject_Objective_33,Subject_or_Unit_22,Subject_or_Unit_1,Subject_Description_22,Subject_Description_33,Subject_or_Unit_36,Face_to_Face,Subject_or_Unit_37,Subject_or_Unit_26,Subject_or_Unit_12,Subject_or_Unit_5,Level_Code,Subject_Objective_34,Subject_or_Unit_34,Subject_or_Unit_40,Subject_Description_27,Subject_Objective_36,Subject_Objective_29,Subject_Objective_32,Subject_or_Unit_31,Subject_Description_16,Subject_or_Unit_23,Subject_Description_38,Subject_or_Unit_18,Subject_Description_12,Subject_Objective_30,Subject_or_Unit_27,Subject_Objective_12,Currency,Local_Fees,Subject_or_Unit_20,Subject_or_Unit_39,Subject_Objective_21,Subject_or_Unit_33,Subject_Objective_26,Subject_or_Unit_9,University,Subject_or_Unit_7,Subject_or_Unit_19,Subject_or_Unit_15,Subject_Objective_18,Subject_Objective_28,Prerequisite_2_grade,Subject_Objective_23,Subject_Description_23,Subject_Description_36,Subject_Objective_11,Subject_Description_2,Offline,Subject_Description_9,Subject_Description_28,Subject_Description_6,Subject_Objective_15,Subject_Description_1,Distance,Subject_or_Unit_3,Subject_or_Unit_17,Subject_Description_5,Subject_Objective_39,Subject_Objective_22,Subject_Objective_35,Subject_Description_26,Subject_Description_24,Career_Outcomes,Subject_Objective_8,Subject_or_Unit_16,Subject_Objective_7,Subject_Description_31,Subject_Description_35,Subject_Objective_14,Subject_or_Unit_4,Subject_or_Unit_29,Subject_Objective_5,Country,Course,Subject_Objective_2,Subject_Objective_10,Blended,Subject_or_Unit_24,Subject_or_Unit_11
,yes,,,,TR541 Trauma Counselling: Intervention Frameworks,A,,Humanities and Social Science,,,,,,,,,,,,year,,,IELTS,,,,,,SO661 Group Processes,7.5,,,no,SO662 Group Facilitation,CO670 Reflective Practice: Personal Practice Framework,,,,18,,https://chc.edu.au/courses/master-of-social-science-leadership/,,,,,no,,,,Carindale,,,,,,,,English,,,"The Master of Social Science Leadership is designed to facilitate the acquisition of advanced knowledge and skills related to a specific field of social sciences practice, as well as critical thinking and reflection, and incorporates a strong leadership focus with a theoretical understanding of contextual social sciences engagement and Christian worldview integration. The course is therefore intended for those who already possess a foundational understanding of the social sciences or are interested in up-skilling as they are promoted into leadership positions within the social sciences. Students will be able to undertake focussed study in a specific social sciences discipline that address four key areas: Students will focus on leadership within the social sciences discipline by engaging in learning in core approaches and frameworks that are to be contextually applied via focussed assessment. In addition, the Master in Social Science Leadership is designed to provide opportunity to focus on, evaluate and critically integrate knowledge and skills from the perspective of a Christian worldview. As a faith-based higher education provider, CHC aims to provide quality educational experiences for professionals in order that they may contribute meaningfully to their professions in applied social science areas, and to society more generally, in ways that authentically reflect values and tenets of the Christian faith. Students who successfully complete the Graduate Certificate in Social Science Leadership may articulate into the Master of Social Science Leadership (SS54). Students who are enrolled in the Master of Social Science Leadership may exit with the Graduate Certificate in Social Science Leadership (subject to the completion of course rules).",,,,,,Months,,,,,SO540 Leadership Theory,,,,yes,TR542 Trauma Counselling: Intervention Strategies,,,SO542 Leading and Facilitating Strategic Change,PG,,,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,SO653 Research Methods,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,AUD,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,TR540 Trauma Counselling: Theoretical Foundations,,SO651 Transformative Social Engagement and Christian Worldview,Christian Heritage College,SO650 Leading Relational Dynamics,SO694 Leadership Thesis (30 credit points),SO663 Leading Reflective Practice,,,,,,,,,yes,,,,,,yes,SO541 Leadership Practice,SO693 Research Proposal,,,,,,,,,,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,Australia,Master of Social Science Leadership,,,no,,SO653 Research Methods
,yes,,,,TR541 Trauma Counselling: Intervention Frameworks,A,,Humanities and Social Science,,,,,,,,,,,,year,,,IELTS,,,,,,SO661 Group Processes,7.5,,,no,SO662 Group Facilitation,CO670 Reflective Practice: Personal Practice Framework,,,,18,,https://chc.edu.au/courses/master-of-social-science-leadership/,,,,,no,,,,Online,,,,,,,,English,,,"The Master of Social Science Leadership is designed to facilitate the acquisition of advanced knowledge and skills related to a specific field of social sciences practice, as well as critical thinking and reflection, and incorporates a strong leadership focus with a theoretical understanding of contextual social sciences engagement and Christian worldview integration. The course is therefore intended for those who already possess a foundational understanding of the social sciences or are interested in up-skilling as they are promoted into leadership positions within the social sciences. Students will be able to undertake focussed study in a specific social sciences discipline that address four key areas: Students will focus on leadership within the social sciences discipline by engaging in learning in core approaches and frameworks that are to be contextually applied via focussed assessment. In addition, the Master in Social Science Leadership is designed to provide opportunity to focus on, evaluate and critically integrate knowledge and skills from the perspective of a Christian worldview. As a faith-based higher education provider, CHC aims to provide quality educational experiences for professionals in order that they may contribute meaningfully to their professions in applied social science areas, and to society more generally, in ways that authentically reflect values and tenets of the Christian faith. Students who successfully complete the Graduate Certificate in Social Science Leadership may articulate into the Master of Social Science Leadership (SS54). Students who are enrolled in the Master of Social Science Leadership may exit with the Graduate Certificate in Social Science Leadership (subject to the completion of course rules).",,,,,,Months,,,,,SO540 Leadership Theory,,,,yes,TR542 Trauma Counselling: Intervention Strategies,,,SO542 Leading and Facilitating Strategic Change,PG,,,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,SO653 Research Methods,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,AUD,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,TR540 Trauma Counselling: Theoretical Foundations,,SO651 Transformative Social Engagement and Christian Worldview,Christian Heritage College,SO650 Leading Relational Dynamics,SO694 Leadership Thesis (30 credit points),SO663 Leading Reflective Practice,,,,,,,,,yes,,,,,,yes,SO541 Leadership Practice,SO693 Research Proposal,,,,,,,,,,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,Australia,Master of Social Science Leadership,,,no,,SO653 Research Methods
,no,,,,TR541 Trauma Counselling: Intervention Frameworks,A,,Humanities and Social Science,,,,,,,,,,,,year,,,IELTS,,,,,,SO661 Group Processes,7.5,,,no,JM507 Christian Perspectives on Organisational Management,CO670 Reflective Practice: Personal Practice Framework,,,,4,,https://chc.edu.au/courses/master-of-ministry-leadership/,,,,,yes,,,,Carindale,,,,,,,,English,,,"The course aims to provide the ministry professional with an advanced understanding of leadership within the ministry context in order to further enhance students’ professional vocation. Concurrent involvement in professional ministry practice is required for the duration of the course. Ministry leaders at all levels of responsibility, including senior, and executive- and departmental-level leaders, are required to function both within distinctly ministry elements of their divine calling, and as Chief Executive Officers, senior managers and managers of their churches and ministry organisations. Likewise, ministry organisations are divinely appointed and commissioned, but must operate within legislation. As such, ministry leaders are called to ‘co-mission’ together with God in leading, directing and managing their ministry organisations within society. Although there are numerous models and theories of leadership and organisational management, an integrative approach for ministry leadership is one which should engage and reflect both biblical and theological perspectives. The Master of Ministry Leadership recognises the complementary nature of the various sources of knowledge to inform such an integrative approach. Consequently, the course draws upon the outcomes of social science research into leadership and organisational behaviour, together with biblical and theological perspectives on leadership within the context of ministry. The maximum time allowed for the completion of the Master of Ministry Leadership is 10 years. Extensions beyond this time may be approved where extenuating circumstances exist. CHC regards the Bible as the final referent particularly as it applies to defining and shaping Christian Ministry. In the light of this distinctive orientation, the personal, theological, and ministry dimensions of the course are integrated under the authority of Scripture as the revelation of God developed within theological reflection arising from Scripture and applied in ministry and mission.",,,,,,Years,,,,,JM501 Paradigms of Leadership,,,,yes,TR542 Trauma Counselling: Intervention Strategies,,,JM503 Scholarship and the Ministry Leader,PG,,,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,SO653 Research Methods,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,AUD,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,TR540 Trauma Counselling: Theoretical Foundations,,JM505 Toward a Kingdom of God Culture,Christian Heritage College,JM504 Ministry Leadership – A Commissional Paradigm,SO694 Leadership Thesis (30 credit points),JM508 Ministry Leadership Project,,,,,,,,,yes,,,,,,no,JM502 Identity of the Leader – A Theological Investigation,SO693 Research Proposal,,,,,,,,,,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,Australia,Master of Ministry Leadership,,,no,,JM506 Relational Interactions – A Leadership Perspective
,yes,,,,TR541 Trauma Counselling: Intervention Frameworks,A,,Business & Commerce & Finance & Accounting,,,,,,,,,,,,year,,,IELTS,,,,,,SO661 Group Processes,7.5,,,yes,BZ540 Purpose-driven Business,CO670 Reflective Practice: Personal Practice Framework,,,,18,,https://chc.edu.au/courses/graduate-diploma-in-management/,,,,,no,,,,Online,,,,,,,,English,,,"The course aims to provide the ministry professional with an advanced understanding of leadership within the ministry context in order to further enhance students’ professional vocation. Concurrent involvement in professional ministry practice is required for the duration of the course. Ministry leaders at all levels of responsibility, including senior, and executive- and departmental-level leaders, are required to function both within distinctly ministry elements of their divine calling, and as Chief Executive Officers, senior managers and managers of their churches and ministry organisations. Likewise, ministry organisations are divinely appointed and commissioned, but must operate within legislation. As such, ministry leaders are called to ‘co-mission’ together with God in leading, directing and managing their ministry organisations within society. Although there are numerous models and theories of leadership and organisational management, an integrative approach for ministry leadership is one which should engage and reflect both biblical and theological perspectives. The Master of Ministry Leadership recognises the complementary nature of the various sources of knowledge to inform such an integrative approach. Consequently, the course draws upon the outcomes of social science research into leadership and organisational behaviour, together with biblical and theological perspectives on leadership within the context of ministry. The maximum time allowed for the completion of the Master of Ministry Leadership is 10 years. Extensions beyond this time may be approved where extenuating circumstances exist. CHC regards the Bible as the final referent particularly as it applies to defining and shaping Christian Ministry. In the light of this distinctive orientation, the personal, theological, and ministry dimensions of the course are integrated under the authority of Scripture as the revelation of God developed within theological reflection arising from Scripture and applied in ministry and mission.",,,,,,Months,,,,,BZ510 Financial Management,,,,no,TR542 Trauma Counselling: Intervention Strategies,,,BZ532 Human Resource Management,PG,,,,,,,,CA542 Child and Adolescent Counselling: Intervention Strategies,,SO653 Research Methods,,,,,CA540 Child and Adolescent Counselling: Theoretical Foundations,,AUD,,,FR540 Family and Relationship Counselling: Theoretical Foundations,,TR540 Trauma Counselling: Theoretical Foundations,,BZ577 Business Planning for SMEs,Christian Heritage College,BZ550 Marketing Management and Fund Raising,SO694 Leadership Thesis (30 credit points),BZ542 Leadership and Change,,,,,,,,,no,,,,,,yes,BZ531 Economics for Managers,BZ577 Business Planning for SMEs,,,,,,,,,,,,,,,CA541 Child and Adolescent Counselling: Intervention Frameworks,,Australia,Graduate Diploma in Management,,,no,,BZ533 Corporate Governance
,yes,,,,ED641 Cross-Curricular Literacies in Schools,A,,Education,,,,,,,,,,,,year,,,IELTS,,,,,,ED614 Developing Leadership Capacity,7.5,,,yes,ED649 Independent Study in Curriculum Issues,ED600 Theological Reflections on Education,,,,1,,https://chc.edu.au/courses/master-of-education/,,,,,yes,,,,Online,,,,,,,,English,,,"The Master of Education course is designed to provide a program of advanced professional development for qualified and experienced teachers and school leaders with a bachelor degree who want to undertake studies which will assist them to develop Christian perspectives and professional education practices. The Master of Education course emphasises critical reflection upon the role and tasks of the Christian professional teacher, and the mission, philosophy and practices of Christian schooling, and becoming equipped to translate this reflection into practice. The maximum time allowed for the completion of the Master of Education is eight years. Masters in Education Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Graduate Certificate in Christian Education may articulate into the Master of Education. Students who are enrolled in the Master of Education may exit with the Graduate Certificate in Christian Education, subject to the completion of course requirements.",,,,,,Year,,,,,ED601 Applying Worldview Studies to Christian Education,,,,no,ED644 Approaches to Assessment,,,ED690 Introduction to Research Methods,PG,,,,,,,,ED621 The Spiritual Development of Learners,,ED611 Leadership and Change Management,,,,,ED615 Cultivating Sustainable Christian School Cultures,,AUD,,,ED645 Effective Pedagogical Practices within ICT,,ED622 Critical Engagements for Teaching Christianly,,ED619 Independent Study in Issues of Educational Leadership,Christian Heritage College,ED609 Independent Study in Perspectives for Christian Education,ED691 Extended Independent Study,ED659 Independent Study in Pedagogical Issues,,,,,,,,,no,,,,,,yes,ED602 Philosophical Perspectives on Education,CU535 Curriculum and Pedagogy: Digital Technologies 1,,,,,,,Positions of added responsibility (PAR) with schools including:,,,,,,,,ED620 Enhancing the Spiritual Formation of Teachers,,Australia,Master of Education,,,no,,ED629 Independent Study in Issues of Spirituality and Education
,yes,,,,ED641 Cross-Curricular Literacies in Schools,A,,Humanities and Social Science,,,,,,,,,,,,year,,,IELTS,,,,,,ED614 Developing Leadership Capacity,7.5,,,yes,JC402 Communication for Ministry,ED600 Theological Reflections on Education,,,,6,,https://chc.edu.au/courses/graduate-certificate-in-ministry/,,,,,yes,,,,Carindale,,,,,,,,English,,,"Many Christians choose care-based professions that they consider to be their ministry in society. As an introductory postgraduate award in Ministry, the course offers the Christian professional a biblical, theological and ministry foundation to support their professional vocation, and provides grounding in the disciplines of Ministry that undergird their personal and professional development. Further, the Graduate Certificate in Ministry offers students who are reassessing their profession an introduction to vocational knowledge and skills in a new professional area. The course provides opportunity for students to begin preparing for ministry in an evangelical/charismatic setting or leadership position. The maximum time allowed for the completion of the Graduate Certificate in Ministry is 5 years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Graduate Certificate in Ministry may articulate into the Graduate Diploma in Ministry . Students who are enrolled in the Graduate Diploma in Ministry may exit with the Graduate Certificate in Ministry, subject to the completion of course requirements. CHC regards the Bible as the final referent particularly as it applies to defining and shaping Christian Ministry. In the light of this distinctive orientation, the personal, theological, and ministry dimensions of the course are integrated under the authority of Scripture as the revelation of God developed within theological reflection arising from Scripture and applied in ministry and mission.",,,,,,Months,,,,,JA401 Biblical Interpretation and Application,,,,yes,ED644 Approaches to Assessment,,,JA403 Biblical Studies in the New Testament,PG,,,,,,,,ED621 The Spiritual Development of Learners,,ED611 Leadership and Change Management,,,,,ED615 Cultivating Sustainable Christian School Cultures,,AUD,,,ED645 Effective Pedagogical Practices within ICT,,ED622 Critical Engagements for Teaching Christianly,,JB405 Theology of Ministry,Christian Heritage College,JB404 Spiritual transformation,ED691 Extended Independent Study,JC403 Leadership for Life and Ministry,,,,,,,,,yes,,,,,,yes,JA402 Biblical Studies in the Old Testament,CU535 Curriculum and Pedagogy: Digital Technologies 1,,,,,,,,,,,,,,,ED620 Enhancing the Spiritual Formation of Teachers,,Australia,Graduate Certificate in Ministry,,,no,,JC401 Introduction to Ministry Practice
,yes,,,,ED641 Cross-Curricular Literacies in Schools,A,,Humanities and Social Science,,,,,,,,,,,,year,,,IELTS,,,,,,ED614 Developing Leadership Capacity,7.5,,,yes,JC402 Communication for Ministry,ED600 Theological Reflections on Education,,,,6,,https://chc.edu.au/courses/graduate-certificate-in-ministry/,,,,,yes,,,,Online,,,,,,,,English,,,"Many Christians choose care-based professions that they consider to be their ministry in society. As an introductory postgraduate award in Ministry, the course offers the Christian professional a biblical, theological and ministry foundation to support their professional vocation, and provides grounding in the disciplines of Ministry that undergird their personal and professional development. Further, the Graduate Certificate in Ministry offers students who are reassessing their profession an introduction to vocational knowledge and skills in a new professional area. The course provides opportunity for students to begin preparing for ministry in an evangelical/charismatic setting or leadership position. The maximum time allowed for the completion of the Graduate Certificate in Ministry is 5 years. Extensions beyond this time may be approved where extenuating circumstances exist. Students who successfully complete the Graduate Certificate in Ministry may articulate into the Graduate Diploma in Ministry . Students who are enrolled in the Graduate Diploma in Ministry may exit with the Graduate Certificate in Ministry, subject to the completion of course requirements. CHC regards the Bible as the final referent particularly as it applies to defining and shaping Christian Ministry. In the light of this distinctive orientation, the personal, theological, and ministry dimensions of the course are integrated under the authority of Scripture as the revelation of God developed within theological reflection arising from Scripture and applied in ministry and mission.",,,,,,Months,,,,,JA401 Biblical Interpretation and Application,,,,yes,ED644 Approaches to Assessment,,,JA403 Biblical Studies in the New Testament,PG,,,,,,,,ED621 The Spiritual Development of Learners,,ED611 Leadership and Change Management,,,,,ED615 Cultivating Sustainable Christian School Cultures,,AUD,,,ED645 Effective Pedagogical Practices within ICT,,ED622 Critical Engagements for Teaching Christianly,,JB405 Theology of Ministry,Christian Heritage College,JB404 Spiritual transformation,ED691 Extended Independent Study,JC403 Leadership for Life and Ministry,,,,,,,,,yes,,,,,,yes,JA402 Biblical Studies in the Old Testament,CU535 Curriculum and Pedagogy: Digital Technologies 1,,,,,,,,,,,,,,,ED620 Enhancing the Spiritual Formation of Teachers,,Australia,Graduate Certificate in Ministry,,,no,,JC401 Introduction to Ministry Practice
,yes,,,,ED641 Cross-Curricular Literacies in Schools,A,,Creative Arts & Design & Music,,,,,,,,,,,,year,,,IELTS,,,,,,ED614 Developing Leadership Capacity,7.5,,,no,JC402 Communication for Ministry,ED600 Theological Reflections on Education,,,,1,,https://chc.edu.au/courses/graduate-certificate-in-liberal-arts/,,,,,yes,,,,Carindale,,,,,,,,English,,,"Humans are rational creatures; we were created to reason about what, how and why things are. The ability to reason well is a crucial skill in any realm, but especially for education, faith, relationships and work. Socrates argued that the unexamined life is not worth living. The Millis Institute seeks to help university graduates and professionals in Australia pursue the examined life in their institutions, organisations, communities and careers. Knowing goes far beyond merely possessing information. From a Christian worldview perspective, it is a more relational, holistic venture, involving different human dimensions and capacities. The ability to see the world from these various angles – that is, to deepen lateral thinking and integrate modes of reasoning – would benefit professionals in many fields. Acquiring these skills would be especially attractive to teachers desiring to expand and deepen ways of knowing in their classrooms.",,,,,,Year,,,,,JA401 Biblical Interpretation and Application,,,,yes,ED644 Approaches to Assessment,,,JA403 Biblical Studies in the New Testament,PG,,,,,,,,ED621 The Spiritual Development of Learners,,ED611 Leadership and Change Management,,,,,ED615 Cultivating Sustainable Christian School Cultures,,AUD,,,ED645 Effective Pedagogical Practices within ICT,,ED622 Critical Engagements for Teaching Christianly,,JB405 Theology of Ministry,Christian Heritage College,JB404 Spiritual transformation,ED691 Extended Independent Study,JC403 Leadership for Life and Ministry,,,,,,,,,yes,,,,,,yes,JA402 Biblical Studies in the Old Testament,CU535 Curriculum and Pedagogy: Digital Technologies 1,,,,,,,,,,,,,,,ED620 Enhancing the Spiritual Formation of Teachers,,Australia,Graduate Certificate in the Liberal Arts,,,no,,JC401 Introduction to Ministry Practice
,yes,,,,ED641 Cross-Curricular Literacies in Schools,A,,Creative Arts & Design & Music,,,,,,,,,,,,year,,,IELTS,,,,,,ED614 Developing Leadership Capacity,7.5,,,no,JC402 Communication for Ministry,ED600 Theological Reflections on Education,,,,1,,https://chc.edu.au/courses/graduate-certificate-in-liberal-arts/,,,,,yes,,,,Online,,,,,,,,English,,,"Humans are rational creatures; we were created to reason about what, how and why things are. The ability to reason well is a crucial skill in any realm, but especially for education, faith, relationships and work. Socrates argued that the unexamined life is not worth living. The Millis Institute seeks to help university graduates and professionals in Australia pursue the examined life in their institutions, organisations, communities and careers. Knowing goes far beyond merely possessing information. From a Christian worldview perspective, it is a more relational, holistic venture, involving different human dimensions and capacities. The ability to see the world from these various angles – that is, to deepen lateral thinking and integrate modes of reasoning – would benefit professionals in many fields. Acquiring these skills would be especially attractive to teachers desiring to expand and deepen ways of knowing in their classrooms.",,,,,,Year,,,,,JA401 Biblical Interpretation and Application,,,,yes,ED644 Approaches to Assessment,,,JA403 Biblical Studies in the New Testament,PG,,,,,,,,ED621 The Spiritual Development of Learners,,ED611 Leadership and Change Management,,,,,ED615 Cultivating Sustainable Christian School Cultures,,AUD,,,ED645 Effective Pedagogical Practices within ICT,,ED622 Critical Engagements for Teaching Christianly,,JB405 Theology of Ministry,Christian Heritage College,JB404 Spiritual transformation,ED691 Extended Independent Study,JC403 Leadership for Life and Ministry,,,,,,,,,yes,,,,,,yes,JA402 Biblical Studies in the Old Testament,CU535 Curriculum and Pedagogy: Digital Technologies 1,,,,,,,,,,,,,,,ED620 Enhancing the Spiritual Formation of Teachers,,Australia,Graduate Certificate in the Liberal Arts,,,no,,JC401 Introduction to Ministry Practice
,yes,,,,ED641 Cross-Curricular Literacies in Schools,A,,Creative Arts & Design & Music,,,,,,,,,,,,year,,,IELTS,,,,,,ED614 Developing Leadership Capacity,7.5,,,yes,JC402 Communication for Ministry,ED600 Theological Reflections on Education,,,,1,,https://chc.edu.au/courses/graduate-diploma-in-liberal-arts/,,,,,yes,,,,Carindale,,,,,,,,English,,,"Humans are rational creatures; we were created to reason about what, how and why things are. The ability to reason well is a crucial skill in any realm, but especially for education, faith, relationships and work. Socrates argued that the unexamined life is not worth living. The Millis Institute seeks to help university graduates and professionals in Australia pursue the examined life in their institutions, organisations, communities and careers. Knowing goes far beyond merely possessing information. From a Christian worldview perspective, it is a more relational, holistic venture, involving different human dimensions and capacities. The ability to see the world from these various angles – that is, to deepen lateral thinking and integrate modes of reasoning – would benefit professionals in many fields. Acquiring these skills would be especially attractive to teachers desiring to expand and deepen ways of knowing in their classrooms.",,,,,,Year,,,,,JA401 Biblical Interpretation and Application,,,,yes,ED644 Approaches to Assessment,,,JA403 Biblical Studies in the New Testament,PG,,,,,,,,ED621 The Spiritual Development of Learners,,ED611 Leadership and Change Management,,,,,ED615 Cultivating Sustainable Christian School Cultures,,AUD,,,ED645 Effective Pedagogical Practices within ICT,,ED622 Critical Engagements for Teaching Christianly,,JB405 Theology of Ministry,Christian Heritage College,JB404 Spiritual transformation,ED691 Extended Independent Study,JC403 Leadership for Life and Ministry,,,,,,,,,yes,,,,,,yes,JA402 Biblical Studies in the Old Testament,CU535 Curriculum and Pedagogy: Digital Technologies 1,,,,,,,,,,,,,,,ED620 Enhancing the Spiritual Formation of Teachers,,Australia,Graduate Diploma in the Liberal Arts,,,no,,JC401 Introduction to Ministry Practice
,yes,,,,ED641 Cross-Curricular Literacies in Schools,A,,Creative Arts & Design & Music,,,,,,,,,,,,year,,,IELTS,,,,,,ED614 Developing Leadership Capacity,7.5,,,yes,JC402 Communication for Ministry,ED600 Theological Reflections on Education,,,,1,,https://chc.edu.au/courses/graduate-diploma-in-liberal-arts/,,,,,yes,,,,Online,,,,,,,,English,,,"Humans are rational creatures; we were created to reason about what, how and why things are. The ability to reason well is a crucial skill in any realm, but especially for education, faith, relationships and work. Socrates argued that the unexamined life is not worth living. The Millis Institute seeks to help university graduates and professionals in Australia pursue the examined life in their institutions, organisations, communities and careers. Knowing goes far beyond merely possessing information. From a Christian worldview perspective, it is a more relational, holistic venture, involving different human dimensions and capacities. The ability to see the world from these various angles – that is, to deepen lateral thinking and integrate modes of reasoning – would benefit professionals in many fields. Acquiring these skills would be especially attractive to teachers desiring to expand and deepen ways of knowing in their classrooms.",,,,,,Year,,,,,JA401 Biblical Interpretation and Application,,,,yes,ED644 Approaches to Assessment,,,JA403 Biblical Studies in the New Testament,PG,,,,,,,,ED621 The Spiritual Development of Learners,,ED611 Leadership and Change Management,,,,,ED615 Cultivating Sustainable Christian School Cultures,,AUD,,,ED645 Effective Pedagogical Practices within ICT,,ED622 Critical Engagements for Teaching Christianly,,JB405 Theology of Ministry,Christian Heritage College,JB404 Spiritual transformation,ED691 Extended Independent Study,JC403 Leadership for Life and Ministry,,,,,,,,,yes,,,,,,yes,JA402 Biblical Studies in the Old Testament,CU535 Curriculum and Pedagogy: Digital Technologies 1,,,,,,,,,,,,,,,ED620 Enhancing the Spiritual Formation of Teachers,,Australia,Graduate Diploma in the Liberal Arts,,,no,,JC401 Introduction to Ministry Practice
